id,question,category,expected_source,ground_truth,retrieved_sources,raw_answer,answer,evidence,source,confidence,latency_sec,model
aq_01,What methods are used for multilingual hate speech detection?,answerable,2004.06465v3.pdf,,['2004.06465v3.pdf'],"ANSWER: The authors used models such as SVM, Bi-LSTM, and Deep Learning Models, specifically mentioning BERT, to build hate speech detection models.
EVIDENCE: ""The authors used models such as SVM, and Bi-LSTM to build hate speech detection models.""
SOURCE: 2004.06465v3.pdf
CONFIDENCE: HIGH","The authors used models such as SVM, Bi-LSTM, and Deep Learning Models, specifically mentioning BERT, to build hate speech detection models.","""The authors used models such as SVM, and Bi-LSTM to build hate speech detection models.""",2004.06465v3.pdf,HIGH,17.02,llama-3.1-8b-instant
aq_02,How does federated learning protect data privacy?,answerable,2203.12609v1.pdf,,['2102.01255v1.pdf'],"ANSWER: Federated learning protects data privacy by processing data on the device, resulting in better data protection.
EVIDENCE: ""Thus, data processing on the device results in better data privacy and better data protection.""
SOURCE: 2102.01255v1.pdf
CONFIDENCE: HIGH","Federated learning protects data privacy by processing data on the device, resulting in better data protection.","""Thus, data processing on the device results in better data privacy and better data protection.""",2102.01255v1.pdf,HIGH,5.56,llama-3.1-8b-instant
aq_03,What is BERTopic and how does it compare to LDA?,answerable,2212.08459v1.pdf,,['2212.08459v1.pdf'],"ANSWER: BERTopic is a topic model that is less susceptible to short documents and takes outlier generation into account, compared to LDA. BERTopic is considered an all-encompassing topic model performance measure.
EVIDENCE: ""BERTopic k-Means an all-encompassing topic model performance measure that takes outlier generation into account A limitation of BERTopic HDBSCAN is the is a limitation in this research and should be considered in future work.""
SOURCE: 2212.08459v1.pdf
CONFIDENCE: HIGH","BERTopic is a topic model that is less susceptible to short documents and takes outlier generation into account, compared to LDA. BERTopic is considered an all-encompassing topic model performance measure.","""BERTopic k-Means an all-encompassing topic model performance measure that takes outlier generation into account A limitation of BERTopic HDBSCAN is the is a limitation in this research and should be considered in future work.""",2212.08459v1.pdf,HIGH,5.91,llama-3.1-8b-instant
aq_04,What deep learning model is used for demand forecasting in this research?,answerable,2008.08522v1.pdf,,['2008.08522v1.pdf'],"ANSWER: Long short-term memory neural networks (LSTMs).
EVIDENCE: ""The aim of this article is to evaluate the suitability of long short-term memory neural networks (LSTMs) for demand forecasting...""
SOURCE: 2008.08522v1.pdf
CONFIDENCE: HIGH",Long short-term memory neural networks (LSTMs).,"""The aim of this article is to evaluate the suitability of long short-term memory neural networks (LSTMs) for demand forecasting...""",2008.08522v1.pdf,HIGH,5.89,llama-3.1-8b-instant
aq_05,How is concept drift detected in the paper on concept drift?,answerable,2203.11070v1.pdf,,['2203.11070v1.pdf'],"ANSWER: Concept drift is detected by real concept drift detectors that identify changes affecting the predictor's performance.
EVIDENCE: ""real concept drift detectors since these methods detect drifts that affect the predictor’s performance.""
SOURCE: 2203.11070v1.pdf
CONFIDENCE: HIGH",Concept drift is detected by real concept drift detectors that identify changes affecting the predictor's performance.,"""real concept drift detectors since these methods detect drifts that affect the predictor’s performance.""",2203.11070v1.pdf,HIGH,5.47,llama-3.1-8b-instant
aq_06,What features or signals are used to detect fake news in this study?,answerable,2101.01142v1.pdf,,['2101.01142v1.pdf'],"ANSWER: The study focuses on the analysis of text, images, network data, and reputation to detect fake news.
EVIDENCE: ""focused on the analysis of text, images, network data and reputation"" 
SOURCE: 2101.01142v1.pdf
CONFIDENCE: HIGH","The study focuses on the analysis of text, images, network data, and reputation to detect fake news.","""focused on the analysis of text, images, network data and reputation""",2101.01142v1.pdf,HIGH,5.51,llama-3.1-8b-instant
aq_07,What is SHAP and how does it explain model predictions?,answerable,2103.00949v1.pdf,,"['2103.00949v1.pdf', '2303.00960v1.pdf']","ANSWER: SHAP (SHapley Additive exPlanation) is a method that explains model predictions by attributing the change in the expected model prediction to each feature when conditioning on that feature.
EVIDENCE: ""SHAP(SHapleyAdditiveexPlanation)valuesattributetoeachfeaturethechangeintheexpectedmodelpredictionwhenconditioningonthatfeature."" (Source 2: 2103.00949v1.pdf)
CONFIDENCE: HIGH",SHAP (SHapley Additive exPlanation) is a method that explains model predictions by attributing the change in the expected model prediction to each feature when conditioning on that feature.,"""SHAP(SHapleyAdditiveexPlanation)valuesattributetoeachfeaturethechangeintheexpectedmodelpredictionwhenconditioningonthatfeature."" (Source 2: 2103.00949v1.pdf)",,HIGH,5.74,llama-3.1-8b-instant
aq_08,What are the main constraints of running machine learning on TinyML edge devices?,answerable,2102.01255v1.pdf,,['2102.01255v1.pdf'],"ANSWER: Low latency and low communication bandwidth constraints.
EVIDENCE: ""thereby offering solutions for applications with low latency and low communication bandwidth constraints""
SOURCE: 2102.01255v1.pdf
CONFIDENCE: HIGH",Low latency and low communication bandwidth constraints.,"""thereby offering solutions for applications with low latency and low communication bandwidth constraints""",2102.01255v1.pdf,HIGH,5.42,llama-3.1-8b-instant
aq_09,What is a data lake and how does it differ from a data warehouse?,answerable,2106.09592v2.pdf,,['2106.09592v2.pdf'],"ANSWER: A data lake is a flexible, scalable data storage that manages data in many real-life use cases, differing from a data warehouse in its schema-on-read approach and low-cost storage.
EVIDENCE: ""In essence, a data lake is a flexible, scalable data storage details of future data lake challenges such as supporting machinelearningindatalakes."" and ""Data lakes are proposed to store and datastillposesadauntingchallengewithmanyopenissues manage data in many real-life use cases: Internet of things [2].Web-basedbusinesstransactions,sensornetworks,real- (IoT) and smart city [99], manufacturing [112], medicine""
SOURCE: 2106.09592v2.pdf
CONFIDENCE: HIGH","A data lake is a flexible, scalable data storage that manages data in many real-life use cases, differing from a data warehouse in its schema-on-read approach and low-cost storage.","""In essence, a data lake is a flexible, scalable data storage details of future data lake challenges such as supporting machinelearningindatalakes."" and ""Data lakes are proposed to store and datastillposesadauntingchallengewithmanyopenissues manage data in many real-life use cases: Internet of things [2].Web-basedbusinesstransactions,sensornetworks,real- (IoT) and smart city [99], manufacturing [112], medicine""",2106.09592v2.pdf,HIGH,5.78,llama-3.1-8b-instant
aq_10,What features are used to predict loan default in this paper?,answerable,2103.00949v1.pdf,,['2103.00949v1.pdf'],"ANSWER: The features used to predict loan default include ""loan_amnt"", ""total_amnt"", and whether the loan is ""verified"".
EVIDENCE: ""Another important feature of this loan that pushes it towards the risk free category is the fact that it is a 'verified' loan"" and ""This customer has been categorized as 'Default', meaning that they are expected to fail to fully repay the loan""
SOURCE: 2103.00949v1.pdf
CONFIDENCE: HIGH","The features used to predict loan default include ""loan_amnt"", ""total_amnt"", and whether the loan is ""verified"".","""Another important feature of this loan that pushes it towards the risk free category is the fact that it is a 'verified' loan"" and ""This customer has been categorized as 'Default', meaning that they are expected to fail to fully repay the loan""",2103.00949v1.pdf,HIGH,5.56,llama-3.1-8b-instant
