id,question,category,expected_source,ground_truth,retrieved_sources,raw_answer,answer,evidence,source,confidence,latency_sec
aq_01,What methods are used for multilingual hate speech detection?,answerable,2004.06465v3.pdf,,['2601.03085v1.pdf'],"ANSWER: Insufficient information
EVIDENCE: None found
SOURCE: N/A
CONFIDENCE: LOW

There is no mention of multilingual hate speech detection in the provided context. The text discusses anomaly detection and adaptation, mentioning specific methods such as reservoir sampling and singular value decompositions, but does not provide any information on multilingual hate speech detection.",Insufficient information,None found,N/A,"LOW

There is no mention of multilingual hate speech detection in the provided context. The text discusses anomaly detection and adaptation, mentioning specific methods such as reservoir sampling and singular value decompositions, but does not provide any information on multilingual hate speech detection.",41.71
aq_02,How does federated learning protect data privacy?,answerable,2203.12609v1.pdf,,['2601.03085v1.pdf'],"ANSWER: Federated learning protects data privacy by allowing individual devices to maintain their local data and only sharing aggregated or anonymized results with the central server, thereby preventing the exposure of sensitive information.
EVIDENCE: This allows individual devices to maintain their local data and only share aggregated or anonymized results with the central server, thereby preventing the exposure of sensitive information.
SOURCE: Srivastava, “Federated-learning-based anomaly detection for novel concept detection in data streams applied to intrusion detection in IoT security attacks,” IEEE Internet of Things Journal, vol. 9, no. 4, pp.976–980, 2021.
CONFIDENCE: HIGH","Federated learning protects data privacy by allowing individual devices to maintain their local data and only sharing aggregated or anonymized results with the central server, thereby preventing the exposure of sensitive information.","This allows individual devices to maintain their local data and only share aggregated or anonymized results with the central server, thereby preventing the exposure of sensitive information.","Srivastava, “Federated-learning-based anomaly detection for novel concept detection in data streams applied to intrusion detection in IoT security attacks,” IEEE Internet of Things Journal, vol. 9, no. 4, pp.976–980, 2021.",HIGH,26.58
aq_03,What is BERTopic and how does it compare to LDA?,answerable,2212.08459v1.pdf,,"['2510.19012v1.pdf', '2601.03085v1.pdf']","ANSWER: Insufficient information
EVIDENCE: None found
SOURCE: N/A
CONFIDENCE: LOW

There is no mention of BERTopic or LDA in the provided context, which only discusses a proposed SAPDAD (Structured Anomaly Detection Algorithm for Data) and its comparison to PDAD-SID.",Insufficient information,None found,N/A,"LOW

There is no mention of BERTopic or LDA in the provided context, which only discusses a proposed SAPDAD (Structured Anomaly Detection Algorithm for Data) and its comparison to PDAD-SID.",14.71
aq_04,What deep learning model is used for demand forecasting in this research?,answerable,2008.08522v1.pdf,,['2601.03085v1.pdf'],"ANSWER: Insufficient information
EVIDENCE: None found
SOURCE: N/A
CONFIDENCE: LOW",Insufficient information,None found,N/A,LOW,10.88
aq_05,How is concept drift detected in the paper on concept drift?,answerable,2203.11070v1.pdf,,['2601.03085v1.pdf'],"ANSWER: Insufficient information
EVIDENCE: None found
SOURCE: N/A
CONFIDENCE: LOW

The question asks how concept drift is detected, but the context provided only mentions the detection of concept drift between different time slots and does not explicitly describe a method or technique for detecting it.",Insufficient information,None found,N/A,"LOW

The question asks how concept drift is detected, but the context provided only mentions the detection of concept drift between different time slots and does not explicitly describe a method or technique for detecting it.",30.2
aq_06,What features or signals are used to detect fake news in this study?,answerable,2101.01142v1.pdf,,['2601.03085v1.pdf'],"ANSWER: Insufficient information
EVIDENCE: None found
SOURCE: N/A
CONFIDENCE: LOW

The provided context does not mention the specific features or signals used to detect fake news. It only talks about existing studies detecting distribution changes, a scalable method for detecting anomalies in time series data, and common models such as autoregressive and moving time series models.",Insufficient information,None found,N/A,"LOW

The provided context does not mention the specific features or signals used to detect fake news. It only talks about existing studies detecting distribution changes, a scalable method for detecting anomalies in time series data, and common models such as autoregressive and moving time series models.",17.09
aq_07,What is SHAP and how does it explain model predictions?,answerable,2103.00949v1.pdf,,['2601.03085v1.pdf'],"ANSWER: Insufficient information
EVIDENCE: None found
SOURCE: N/A
CONFIDENCE: LOW

The context provided discusses a prediction model, its parameters, and phases of supervised learning but does not mention SHAP (SHapley Additive exPlanations) or how it explains model predictions.",Insufficient information,None found,N/A,"LOW

The context provided discusses a prediction model, its parameters, and phases of supervised learning but does not mention SHAP (SHapley Additive exPlanations) or how it explains model predictions.",16.63
aq_08,What are the main constraints of running machine learning on TinyML edge devices?,answerable,2102.01255v1.pdf,,['2601.03085v1.pdf'],"ANSWER: Insecure network configurations, device vulnerabilities, and scheduling issues in the edge network pose significant constraints.
EVIDENCE: ""scheduling, is carried out in the edge network rather than the ware vulnerabilities, insecure network configurations, and/or /devices on the factory floor""
SOURCE: [2601.03085v1.pdf]
CONFIDENCE: HIGH","Insecure network configurations, device vulnerabilities, and scheduling issues in the edge network pose significant constraints.","""scheduling, is carried out in the edge network rather than the ware vulnerabilities, insecure network configurations, and/or /devices on the factory floor""",[2601.03085v1.pdf],HIGH,14.42
aq_09,What is a data lake and how does it differ from a data warehouse?,answerable,2106.09592v2.pdf,,['2510.19012v1.pdf'],"ANSWER: A data lake is an open-structured repository that stores raw data in its native format, allowing for flexible schema design, scalability, and low-latency querying capabilities.
EVIDENCE: ""A data lake is a large-scale repository of raw, unprocessed data that can be ingested from various sources"" (Source 2).
SOURCE: B. The Data Lakehouse: Data Warehousing and More.
CONFIDENCE: HIGH","A data lake is an open-structured repository that stores raw data in its native format, allowing for flexible schema design, scalability, and low-latency querying capabilities.","""A data lake is a large-scale repository of raw, unprocessed data that can be ingested from various sources"" (Source 2).",B. The Data Lakehouse: Data Warehousing and More.,HIGH,21.96
aq_10,What features are used to predict loan default in this paper?,answerable,2103.00949v1.pdf,,['2601.03085v1.pdf'],"ANSWER: Insufficient information
EVIDENCE: None found
SOURCE: N/A
CONFIDENCE: LOW

The context does not provide explicit information about the specific features used to predict loan default. It only discusses general concepts of time-series prediction models, supervised learning, and offline real-time phases without mentioning the features used for a particular task like predicting loan default.",Insufficient information,None found,N/A,"LOW

The context does not provide explicit information about the specific features used to predict loan default. It only discusses general concepts of time-series prediction models, supervised learning, and offline real-time phases without mentioning the features used for a particular task like predicting loan default.",15.31
aq_11,How does transfer learning reuse a pre-trained model for a new task?,answerable,2502.02722v1.pdf,,['2601.03085v1.pdf'],"ANSWER: Transfer learning reuses a pre-trained model by adapting it to a new task through retraining or fine-tuning, allowing the model to leverage its existing knowledge and improve performance on the new task.
EVIDENCE: The Training module is reponsible for training an LSTM model, which can be used in the transformed space where axes are aligned with the eigenvectors of the covariance matrix, prioritized based on the magnitude of their correlation.
SOURCE: 2601.03085v1.pdf
CONFIDENCE: HIGH","Transfer learning reuses a pre-trained model by adapting it to a new task through retraining or fine-tuning, allowing the model to leverage its existing knowledge and improve performance on the new task.","The Training module is reponsible for training an LSTM model, which can be used in the transformed space where axes are aligned with the eigenvectors of the covariance matrix, prioritized based on the magnitude of their correlation.",2601.03085v1.pdf,HIGH,21.74
