model,id,correct
llama3.2:3b,aq_01,1
llama3.2:3b,aq_02,0
llama3.2:3b,aq_03,1
llama3.2:3b,aq_04,1
llama3.2:3b,aq_05,1
llama3.2:3b,aq_06,0
llama3.2:3b,aq_07,1
llama3.2:3b,aq_08,1
llama3.2:3b,aq_09,1
llama3.2:3b,aq_10,0
llama3.2:3b,aq_11,1
llama3.2:3b,aq_12,0
llama3.2:3b,aq_13,1
llama3.2:3b,aq_14,0
llama3.2:3b,aq_15,1
llama3.2:3b,aq_16,1
llama3.2:3b,aq_17,1
llama3.2:3b,aq_18,0
llama3.2:3b,aq_19,1
llama3.2:3b,aq_20,0
llama3.2:3b,un_01,1
llama3.2:3b,un_02,1
llama3.2:3b,un_03,1
llama3.2:3b,un_04,1
llama3.2:3b,un_05,0
llama3.2:3b,un_06,1
llama3.2:3b,un_07,1
llama3.2:3b,un_08,1
llama3.2:3b,un_09,1
llama3.2:3b,un_10,1
llama3.2:3b,un_11,1
llama3.2:3b,un_12,1
llama3.2:3b,un_13,0
llama3.2:3b,un_14,1
llama3.2:3b,un_15,1
llama3.2:3b,dq_01,1
llama3.2:3b,dq_02,1
llama3.2:3b,dq_03,1
llama3.2:3b,dq_04,1
llama3.2:3b,dq_05,1
llama3.2:3b,dq_06,0
llama3.2:3b,dq_07,1
mistral:7b,aq_01,1
mistral:7b,aq_02,0
mistral:7b,aq_03,1
mistral:7b,aq_04,0
mistral:7b,aq_05,1
mistral:7b,aq_06,0
mistral:7b,aq_07,1
mistral:7b,aq_08,1
mistral:7b,aq_09,1
mistral:7b,aq_10,0
mistral:7b,aq_11,1
mistral:7b,aq_12,0
mistral:7b,aq_13,1
mistral:7b,aq_14,0
mistral:7b,aq_15,1
mistral:7b,aq_16,0
mistral:7b,aq_17,1
mistral:7b,aq_18,1
mistral:7b,aq_19,1
mistral:7b,aq_20,0
mistral:7b,un_01,1
mistral:7b,un_02,1
mistral:7b,un_03,1
mistral:7b,un_04,1
mistral:7b,un_05,0
mistral:7b,un_06,1
mistral:7b,un_07,1
mistral:7b,un_08,1
mistral:7b,un_09,1
mistral:7b,un_10,0
mistral:7b,un_11,1
mistral:7b,un_12,1
mistral:7b,un_13,1
mistral:7b,un_14,1
mistral:7b,un_15,1
mistral:7b,dq_01,1
mistral:7b,dq_02,1
mistral:7b,dq_03,1
mistral:7b,dq_04,1
mistral:7b,dq_05,1
mistral:7b,dq_06,0
mistral:7b,dq_07,1
llama-3.1-8b-instant,aq_01,1
llama-3.1-8b-instant,aq_02,0
llama-3.1-8b-instant,aq_03,1
llama-3.1-8b-instant,aq_04,1
llama-3.1-8b-instant,aq_05,1
llama-3.1-8b-instant,aq_06,1
llama-3.1-8b-instant,aq_07,1
llama-3.1-8b-instant,aq_08,1
llama-3.1-8b-instant,aq_09,1
llama-3.1-8b-instant,aq_10,1
llama-3.1-8b-instant,aq_11,1
llama-3.1-8b-instant,aq_12,0
llama-3.1-8b-instant,aq_13,1
llama-3.1-8b-instant,aq_14,0
llama-3.1-8b-instant,aq_15,1
llama-3.1-8b-instant,aq_16,0
llama-3.1-8b-instant,aq_17,1
llama-3.1-8b-instant,aq_18,0
llama-3.1-8b-instant,aq_19,1
llama-3.1-8b-instant,aq_20,0
llama-3.1-8b-instant,un_01,1
llama-3.1-8b-instant,un_02,1
llama-3.1-8b-instant,un_03,1
llama-3.1-8b-instant,un_04,1
llama-3.1-8b-instant,un_05,1
llama-3.1-8b-instant,un_06,1
llama-3.1-8b-instant,un_07,1
llama-3.1-8b-instant,un_08,1
llama-3.1-8b-instant,un_09,1
llama-3.1-8b-instant,un_10,1
llama-3.1-8b-instant,un_11,1
llama-3.1-8b-instant,un_12,1
llama-3.1-8b-instant,un_13,1
llama-3.1-8b-instant,un_14,1
llama-3.1-8b-instant,un_15,1
llama-3.1-8b-instant,dq_01,1
llama-3.1-8b-instant,dq_02,1
llama-3.1-8b-instant,dq_03,1
llama-3.1-8b-instant,dq_04,1
llama-3.1-8b-instant,dq_05,1
llama-3.1-8b-instant,dq_06,1
llama-3.1-8b-instant,dq_07,1
llama3.2:3b,pq_01,0
llama3.2:3b,pq_02,0
llama3.2:3b,pq_03,1
llama3.2:3b,cq_01,0
