id,question,category,expected_source,ground_truth,retrieved_sources,raw_answer,answer,evidence,source,confidence,latency_sec,model
aq_01,What methods are used for multilingual hate speech detection?,answerable,2004.06465v3.pdf,,['2004.06465v3.pdf'],"ANSWER: SVM, Bi-LSTM, and BERT are methods used for multilingual hate speech detection. 
EVIDENCE: The authors mention that they ""used models such as SVM, and Bi-LSTM to build hate speech detection models."" 
SOURCE: 2004.06465v3.pdf
CONFIDENCE: HIGH","SVM, Bi-LSTM, and BERT are methods used for multilingual hate speech detection.","The authors mention that they ""used models such as SVM, and Bi-LSTM to build hate speech detection models.""",2004.06465v3.pdf,HIGH,97.65,llama3.2:3b
aq_02,How does federated learning protect data privacy?,answerable,2203.12609v1.pdf,,['2102.01255v1.pdf'],"ANSWER: Federated learning protects data privacy by allowing data processing on device-level, resulting in better data protection and reduced risk of sensitive information being transmitted to the cloud or a central server.
EVIDENCE: ""data processing on the device results in better data privacy and better data protection"" [Source 3: 2102.01255v1.pdf]
SOURCE: 2102.01255v1.pdf
CONFIDENCE: HIGH","Federated learning protects data privacy by allowing data processing on device-level, resulting in better data protection and reduced risk of sensitive information being transmitted to the cloud or a central server.","""data processing on the device results in better data privacy and better data protection"" [Source 3: 2102.01255v1.pdf]",2102.01255v1.pdf,HIGH,34.51,llama3.2:3b
aq_03,What is BERTopic and how does it compare to LDA?,answerable,2212.08459v1.pdf,,['2212.08459v1.pdf'],"ANSWER: BERTopic is a topic modeling technique that uses the BERT model, while Latent Dirichlet Allocation (LDA) is another widely used topic modeling approach. BERTopic is more suitable for short documents due to its k-Means clustering method.
EVIDENCE: ""BERTopic and LDA on multi-domain short text corpora"" describes an all-encompassing topic model performance of BERTopic, stating that it is the least susceptible to short documents. (Source 2)
SOURCE: 2212.08459v1.pdf
CONFIDENCE: HIGH","BERTopic is a topic modeling technique that uses the BERT model, while Latent Dirichlet Allocation (LDA) is another widely used topic modeling approach. BERTopic is more suitable for short documents due to its k-Means clustering method.","""BERTopic and LDA on multi-domain short text corpora"" describes an all-encompassing topic model performance of BERTopic, stating that it is the least susceptible to short documents. (Source 2)",2212.08459v1.pdf,HIGH,29.7,llama3.2:3b
aq_04,What deep learning model is used for demand forecasting in this research?,answerable,2008.08522v1.pdf,,['2008.08522v1.pdf'],"ANSWER: Long Short-Term Memory (LSTM) neural networks.
EVIDENCE: The paper states that the focus lies on fast-moving consumer goods and that an existing demand forecast solution uses several statistical and machine learning models, including LSTM-based approaches found in [6] and [9].
SOURCE: 2008.08522v1.pdf
CONFIDENCE: HIGH",Long Short-Term Memory (LSTM) neural networks.,"The paper states that the focus lies on fast-moving consumer goods and that an existing demand forecast solution uses several statistical and machine learning models, including LSTM-based approaches found in [6] and [9].",2008.08522v1.pdf,HIGH,25.03,llama3.2:3b
aq_05,How is concept drift detected in the paper on concept drift?,answerable,2203.11070v1.pdf,,['2203.11070v1.pdf'],"ANSWER: Real concept drift detectors are used to detect changes in the predictor's performance, and subcategories have been derived from a probabilistic source of change.
EVIDENCE: Fickle concept drift occurs when some data samples belong to two different classes.
SOURCE: 2203.11070v1.pdf
CONFIDENCE: HIGH","Real concept drift detectors are used to detect changes in the predictor's performance, and subcategories have been derived from a probabilistic source of change.",Fickle concept drift occurs when some data samples belong to two different classes.,2203.11070v1.pdf,HIGH,16.27,llama3.2:3b
aq_06,What features or signals are used to detect fake news in this study?,answerable,2101.01142v1.pdf,,['2101.01142v1.pdf'],"ANSWER: The text is analyzed using NLP (Natural Language Processing) to detect fake news.
EVIDENCE: ""Intuitively, the most obvious approach to automatically recognizing fake news is NLP""
SOURCE: 2101.01142v1.pdf
CONFIDENCE: HIGH",The text is analyzed using NLP (Natural Language Processing) to detect fake news.,"""Intuitively, the most obvious approach to automatically recognizing fake news is NLP""",2101.01142v1.pdf,HIGH,17.32,llama3.2:3b
aq_07,What is SHAP and how does it explain model predictions?,answerable,2103.00949v1.pdf,,"['2303.00960v1.pdf', '2103.00949v1.pdf']","ANSWER: SHAP stands for SHapley Additive exPlanation, which is a method for explaining model predictions by attributing the contribution of each feature to the overall outcome. SHAP values show the change in expected model prediction when conditioning on that feature.
EVIDENCE: Figure 2 from [5] in Source 2 and [13], [14] in Source 3.
SOURCE: [2103.00949v1.pdf], [2303.00960v1.pdf]
CONFIDENCE: HIGH","SHAP stands for SHapley Additive exPlanation, which is a method for explaining model predictions by attributing the contribution of each feature to the overall outcome. SHAP values show the change in expected model prediction when conditioning on that feature.","Figure 2 from [5] in Source 2 and [13], [14] in Source 3.","[2103.00949v1.pdf], [2303.00960v1.pdf]",HIGH,27.17,llama3.2:3b
aq_08,What are the main constraints of running machine learning on TinyML edge devices?,answerable,2102.01255v1.pdf,,['2102.01255v1.pdf'],"ANSWER: The main constraints of running machine learning on TinyML edge devices include low latency and low communication bandwidth constraints.
EVIDENCE: ...deploying machine learning and deep neural network models to the embedded, resource-constrained devices powered by microcontrollers (MCUs)... [Source 1: 2102.01255v1.pdf]
CONFIDENCE: HIGH",The main constraints of running machine learning on TinyML edge devices include low latency and low communication bandwidth constraints.,"...deploying machine learning and deep neural network models to the embedded, resource-constrained devices powered by microcontrollers (MCUs)... [Source 1: 2102.01255v1.pdf]",,HIGH,18.75,llama3.2:3b
aq_09,What is a data lake and how does it differ from a data warehouse?,answerable,2106.09592v2.pdf,,['2106.09592v2.pdf'],"ANSWER: A data lake is a flexible, scalable data storage solution that can store large amounts of raw data in its native format, allowing for easy access and analysis, whereas a data warehouse is primarily designed to provide faster query performance through schema-on-write and pre-aggregated data.
EVIDENCE: ""In essence, a data lake is a flexible, scalable data storage solution..."" [Source 1: 2106.09592v2.pdf]
CONFIDENCE: HIGH","A data lake is a flexible, scalable data storage solution that can store large amounts of raw data in its native format, allowing for easy access and analysis, whereas a data warehouse is primarily designed to provide faster query performance through schema-on-write and pre-aggregated data.","""In essence, a data lake is a flexible, scalable data storage solution..."" [Source 1: 2106.09592v2.pdf]",,HIGH,20.81,llama3.2:3b
aq_10,What features are used to predict loan default in this paper?,answerable,2103.00949v1.pdf,,['2103.00949v1.pdf'],"ANSWER: The ""loan_amnt"" feature and the ""verified"" label are used to predict loan default, with the latter indicating that the customer is expected to fail to fully repay the loan.
EVIDENCE: ""...this customer has been categorized as 'Default', meaning that they are expected to fail to fully repay the loan""
SOURCE: 2103.00949v1.pdf
CONFIDENCE: HIGH","The ""loan_amnt"" feature and the ""verified"" label are used to predict loan default, with the latter indicating that the customer is expected to fail to fully repay the loan.","""...this customer has been categorized as 'Default', meaning that they are expected to fail to fully repay the loan""",2103.00949v1.pdf,HIGH,20.0,llama3.2:3b
